INFO  - 2019-06-17 09:07:42.818; se.BTH.ITProjectManagement.controllers.SprintController; Request to fetch all sprints from the mongo database
INFO  - 2019-06-17 09:07:46.059; se.BTH.ITProjectManagement.controllers.SprintController; Request to open the edit Sprint form page
INFO  - 2019-06-17 09:09:02.120; se.BTH.ITProjectManagement.controllers.SprintController; Request to open the edit Sprint form page
INFO  - 2019-06-17 09:09:06.507; se.BTH.ITProjectManagement.controllers.SprintController; Request to open the edit actualHours form page
INFO  - 2019-06-17 09:09:54.545; se.BTH.ITProjectManagement.controllers.SprintController; Request to fetch all sprints from the mongo database
INFO  - 2019-06-18 10:27:54.937; se.BTH.ITProjectManagement.controllers.SprintController; Request to fetch all sprints from the mongo database
INFO  - 2019-06-18 10:27:59.055; se.BTH.ITProjectManagement.controllers.SprintController; Request to open the edit Sprint form page
INFO  - 2019-06-18 10:28:25.435; se.BTH.ITProjectManagement.controllers.SprintController; Request to fetch all teams from the db for custom team and select team
INFO  - 2019-06-18 10:28:31.867; se.BTH.ITProjectManagement.controllers.SprintController; Request to open the edit Sprint form page
INFO  - 2019-06-18 10:28:35.763; se.BTH.ITProjectManagement.controllers.SprintController; Request to fetch all sprints from the mongo database
INFO  - 2019-06-18 10:28:38.046; se.BTH.ITProjectManagement.controllers.SprintController; Request to open the edit Sprint form page
INFO  - 2019-06-18 10:28:44.720; se.BTH.ITProjectManagement.controllers.SprintController; Request to fetch all teams from the db for custom team and select team
INFO  - 2019-06-18 10:28:46.897; se.BTH.ITProjectManagement.controllers.SprintController; Request to open the edit Sprint form page
INFO  - 2019-06-18 10:28:54.239; se.BTH.ITProjectManagement.controllers.SprintController; Request to open the edit Sprint form page
INFO  - 2019-06-18 10:28:57.201; se.BTH.ITProjectManagement.controllers.SprintController; Request to fetch all sprints from the mongo database
INFO  - 2019-06-18 10:28:59.826; se.BTH.ITProjectManagement.controllers.SprintController; Request to open the edit Sprint form page
INFO  - 2019-06-18 10:29:45.089; se.BTH.ITProjectManagement.controllers.SprintController; Request to open the edit Sprint form page
INFO  - 2019-06-18 10:29:48.385; se.BTH.ITProjectManagement.controllers.SprintController; Request to open the edit actualHours form page
INFO  - 2019-06-18 10:30:23.384; se.BTH.ITProjectManagement.controllers.SprintController; Request to open the edit Sprint form page
INFO  - 2019-06-18 10:30:26.126; se.BTH.ITProjectManagement.controllers.SprintController; Request to open the print sprint form page
INFO  - 2019-06-18 10:31:07.006; se.BTH.ITProjectManagement.controllers.SprintController; Request to open the edit Sprint form page
INFO  - 2019-06-18 10:31:12.356; se.BTH.ITProjectManagement.controllers.SprintController; Request to fetch all sprints from the mongo database
INFO  - 2019-06-18 10:31:15.493; se.BTH.ITProjectManagement.controllers.SprintController; Request to open the new sprint form page
INFO  - 2019-06-18 10:31:19.126; se.BTH.ITProjectManagement.controllers.SprintController; Request to fetch all sprints from the mongo database
INFO  - 2019-06-18 10:31:46.467; se.BTH.ITProjectManagement.controllers.SprintController; Request to fetch all sprints from the mongo database
INFO  - 2019-06-18 10:46:57.832; se.BTH.ITProjectManagement.controllers.SprintController; Request to fetch all sprints from the mongo database
INFO  - 2019-06-18 10:47:42.225; se.BTH.ITProjectManagement.controllers.SprintController; Request to fetch all sprints from the mongo database
